-1		ewoce_eep_110W			-2		ewoce_wep_179E			-3		ewoce_wep_165E_calcd			-4		glob-alk-tco2_eep_calcd			-5		glob-alk-tco2_wep_calcd			-6		glodapv2_eep_86W_calcd			-7		glodapv2_eep_95W_calcd			-8		glodapv2_wep_1_calcd		49HG19950414	-9		glodapv2_wep_2_calcd		49NZ1998129	-10		glodapv2_wep_3_calcd		49NZ20020107	-11		glodapv2_wep_4_calcd		49NZ20021217	-12		glodapv2_wep_5_calcd		49NZ20041117	-13		glodapv2_wep_6_calcd		49NZ20070216	-14		glodapv2_wep_7_calcd		49UP20070606	-15		glodapv2_wep_8_calcd		49UF20090610	-16		glodapv2_wep_9_calcd		49UF20100108	-17		glodapv2_wep_10_calcd		49UP20090117	-18		glodapv2_wep_11_calcd		49UF20180129	-19		pacifica_eep_110W			-20		pacifica_wep_1			-21		pacifica_wep_2			-22		pacifica_wep_3			-23		pacifica_wep_4		
Approx_Depth	Avg_pH	Station	Depth 	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH	Approx_Depth	Avg_pH	Station	Depth	pH
		145	8.95	7.98													19937	100	7.72			20630	100	7.9			379	2.188	8.01			102	9.249	7.98																																																										42	5	8.0319996																				
		145	25.955	7.9699998													19938	0	7.96			20631	0	7.85			379	34.506	7.95			102	19.988	7.99																																																										42	12	8.0229998																				
		145	51.907	7.8400002													19938	10	7.95			20631	10	7.86			379	54.691	7.91			102	29.535	7.99																																																										42	20	8.0039997																				
		145	75.668	7.8099999													19938	20	7.93			20631	20	7.87			379	80.34	7.84			102	39.677	7.97																																																										42	41	7.8070002																				
		145	101.017	7.79													19938	30	7.9			20631	30	7.87			379	105.69	7.88			102	49.122	7.92																																																										42	66	7.625																				
		144	8.254	7.9699998													19938	50	7.82			20631	50	7.88			380	1.591	8.01			102	64.036	7.87																																																										42	92	7.6009998																				
		144	26.552	7.9400001													19938	75	7.74			20631	75	7.89			381	1.691	7.99			102	79.246	7.85																																																										43	5	8.0249996																				
		144	48.526	7.8699999													19938	100	7.71			20631	100	7.9			382	1.392	8.03			102	94.754	7.85																																																										43	10	8.0629997																				
		144	75.071	7.8099999													20197	0	7.81			20906	0	7.86								103	2.785	8.05																																																										43	24	8.0019999																				
		144	101.315	7.7800002													20197	10	7.82			20906	10	7.88								103	9.746	8.02																																																										43	50	7.7090001																				
		143	10.144	7.98													20197	20	7.81			20906	20	7.88								103	18.895	8.01																																																										43	100	7.6440001																				
		143	24.364	7.9499998													20197	30	7.8			20906	30	7.89								103	28.441	7.99																																																										44	6	8.0019999																				
		143	48.029	7.8200002													20197	50	7.78			20906	50	7.89								103	38.981	7.95																																																										44	13	8.0089998																				
		143	73.58	7.77													20197	75	7.74			20906	75	7.89								103	48.924	7.91																																																										44	26	7.8530002																				
		143	99.923	7.73													20197	100	7.74			20906	100	7.9								103	63.141	7.93																																																										44	55	7.6890001																				
		142	9.05	7.9899998													20198	0	7.85			20907	0	7.85								103	79.545	7.88																																																										44	68	7.7220001																				
		142	25.159	7.98													20198	10	7.85			20907	10	7.87								103	92.766	7.9																																																										44	89	7.7420001																				
		142	74.972	7.6700001													20198	20	7.83			20907	20	7.88								104	1.691	8.08																																																										44	107	7.7350001																				
		141	9.249	7.9899998													20198	30	7.82			20907	30	7.88								104	8.155	8.08																																																										45	5	7.9619999																				
		141	24.463	7.9899998													20198	50	7.79			20907	50	7.88								104	18.795	8.01																																																										45	10	7.9520001																				
		141	49.918	7.7199998													20198	75	7.75			20907	75	7.89								104	27.645	7.99																																																										45	20	7.869																				
		141	70.896	7.6500001													20198	100	7.74			20907	100	7.9								104	39.776	7.93																																																										45	42	7.7550001																				
		141	87.299	7.6300001													20199	0	7.88			20908	0	7.85								104	49.819	7.89																																																										45	69	7.7410002																				
		141	106.782	7.6300001													20199	10	7.87			20908	10	7.86								104	64.832	7.85																																																										45	92	7.7750001																				
		140	9.05	7.9899998													20199	20	7.85			20908	20	7.87								104	79.346	7.83																																																										46	7	7.9320002																				
		140	23.369	7.9899998													20199	30	7.84			20908	30	7.87								104	93.661	7.86																																																										46	10	7.9130001																				
		140	49.421	7.8000002													20199	50	7.8			20908	50	7.88								104	109.17	7.9																																																										46	20	7.8460002																				
		140	75.469	7.71													20199	75	7.75			20908	75	7.88								105	1.89	8.09																																																										46	40	7.8119998																				
		140	99.824	7.6599998													20199	100	7.73			20908	100	7.9								105	9.646	8.1																																																										46	60	7.7979999																				
		139	9.646	7.9899998													20200	0	7.9			20909	0	7.84								105	19.79	8.09																																																										46	80	7.7519999																				
		139	23.469	7.8600001													20200	10	7.89			20909	10	7.85								105	28.143	8.08																																																										46	100	7.7150002																				
		139	49.321	7.71													20200	20	7.87			20909	20	7.87								105	38.882	8.01																																																										47	6	7.9130001																				
		138	8.652	7.9899998													20200	30	7.85			20909	30	7.87								105	47.929	7.98																																																										47	15	7.8649998																				
		138	49.52	7.6999998													20200	50	7.81			20909	50	7.88								105	63.937	7.92																																																										47	33	7.8540001																				
		138	74.872	7.6799998													20200	75	7.75			20909	75	7.88								105	78.153	7.88																																																										47	59	7.8530002																				
		138	99.326	7.6599998													20200	100	7.73			20909	100	7.9								105	93.363	7.83																																																										47	83	7.6420002																				
		137	8.453	7.9899998													20464	0	7.77			21187	0	7.86								106	3.381	8.11																																																										47	107	7.6370001																				
		137	48.923	7.7600002													20464	10	7.78			21187	10	7.87								106	9.547	8.11																																																										48	6	7.8909998																				
		137	74.077	7.6799998													20464	20	7.77			21187	20	7.88								106	18.895	8.11																																																										48	13	7.8790002																				
		137	99.823	7.6700001													20464	30	7.77			21187	30	7.88								106	29.535	8.11																																																										48	20	7.8829999																				
		136	8.751	8													20464	50	7.77			21187	50	7.89								106	38.185	8.1																																																										48	42	7.8699999																				
		136	24.662	7.9899998													20464	75	7.74			21187	75	7.89								106	48.128	8.03																																																										48	71	7.6469998																				
		136	48.426	7.8299999													20464	100	7.74			21187	100	7.9								106	63.936	7.87																																																										48	91	7.5539999																				
		136	94.356	7.6599998													20465	0	7.8			21188	0	7.85								106	79.246	7.92																																																										49	5	7.8959999																				
		135	8.055	8.04													20465	10	7.8			21188	10	7.86								106	94.058	7.9																																																										49	9	7.9029999																				
